Conversation no.,No. of authors
1,2
2,3
3,3
4,2
5,2
6,2
7,2
8,5
9,2
10,2
11,2
12,2
13,2
14,3
15,2
16,2
17,3
18,2
19,5
20,3
21,3
22,2
23,3
24,2
25,4
26,4
27,2
28,2
29,2
30,2
31,2
32,2
33,3
34,2
35,3
36,3
37,2
38,2
39,2
40,2
41,3
42,2
43,2
44,2
45,2
46,2
47,2
48,3
49,8
50,3
51,2
52,3
53,3
54,3
55,2
56,2
57,2
58,4
59,2
60,2
61,2
62,4
63,2
64,3
65,2
66,2
67,2
68,6
69,4
70,4
71,2
72,2
73,2
74,4
75,2
76,2
77,3
78,2
79,2
80,4
81,2
82,3
83,2
84,2
85,2
86,2
87,4
88,2
89,4
90,2
91,2
92,2
93,3
94,3
95,4
96,3
97,3
98,2
99,2
100,3
101,2
102,2
103,2
104,2
105,2
106,2
107,2
108,2
109,2
110,2
111,2
112,4
113,5
114,2
115,5
116,2
117,4
118,2
119,3
120,6
121,2
122,3
123,2
124,2
125,2
126,5
127,2
128,7
129,2
130,2
131,5
132,2
133,6
134,4
135,2
136,4
137,2
138,5
139,3
140,2
141,2
142,2
143,2
144,3
145,2
146,6
147,2
148,2
149,2
150,7
151,4
152,2
153,2
154,2
155,2
156,2
157,2
158,3
159,3
160,7
161,3
162,2
163,3
164,3
165,2
166,3
167,2
168,2
169,2
170,2
171,4
172,3
173,2
174,3
175,2
176,3
177,7
178,2
179,2
180,2
181,4
182,2
183,2
184,2
185,2
186,2
187,2
188,2
189,2
190,3
191,5
192,6
193,2
194,2
195,2
196,3
197,2
198,2
199,2
200,3
201,3
202,2
203,4
204,3
205,4
206,2
207,3
208,3
209,2
210,2
211,2
212,2
213,2
214,2
215,2
216,2
217,2
218,2
219,4
220,2
221,2
222,2
223,3
224,2
225,2
226,2
227,2
228,2
229,3
230,5
